country,skill_sets,top_skills
Greater Seattle Area,"[{'\n  Tools & Technologies': ['SQL', 'Visual Basic for Applications (VBA)', 'Python', 'Amazon S3', 'Tensorflow', 'Scala']}, {'\n  Other Skills': ['Amazon Redshift', 'Amazon EMR', 'Amazon Web Service', 'Deep Learning']}]","R,Microsoft SQL Server,VBA"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Cash Flow Forecasting', 'Machine Learning', 'Statistics', 'Automation', 'Financial Analysis', 'Project Management', 'Software']}, {'\n  Tools & Technologies': ['Visual Basic for Applications (VBA)']}, {'\n  Interpersonal Skills': ['Leadership']}, {'\n  Other Skills': ['Artificial Neural Networks']}]","Data Analysis,Python,Modeling"
Greater Boston Area,"[{'\n  Industry Knowledge': ['Data Analysis', 'Business Intelligence', 'Analytics', 'Credit Risk', 'Econometrics', 'SAS programming', 'Financial Modeling', 'Risk Management', 'Financial Risk', 'Business Analysis', 'Credit Cards', 'Banking']}, {'\n  Tools & Technologies': ['R', 'VBA', 'SQL']}, {'\n  Other Skills': ['Applied Mathematics', 'Predictive Modeling', 'Credit Scoring', 'Basel II']}]","Statistics,SAS,Statistical Modeling"
Greater Seattle Area,"[{'\n  Industry Knowledge': ['Project Management', 'Data Analysis', 'Management Consulting', 'Research']}, {'\n  Tools & Technologies': ['Java', 'Microsoft Excel', 'Python', 'C', 'SQL', 'Microsoft Office', 'Assembly Language', 'Verilog', 'C++']}]","R,Matlab,Leadership"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Statistical Modeling', 'Business Analytics', 'SAS programming', 'SAS Programming', 'Data Analysis', 'Six Sigma', 'Analytical Skills', 'Business Intelligence']}, {'\n  Tools & Technologies': ['SQL', 'SAS', 'Microsoft Excel', 'Microsoft Office', 'R']}, {'\n  Interpersonal Skills': ['Team Management']}, {'\n  Other Skills': ['Linear Regression', 'Time Series Analysis', 'Cluster Analysis', 'Regression Analysis', 'Predictive Modeling', 'Predictive Analytics', 'CHAID']}]","Analytics,Logistic Regression,Analysis"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Computer Science', 'Distributed Systems', 'Software Development', 'Artificial Intelligence', 'Software Engineering', 'Big Data', 'Bioinformatics', 'Product Management', 'Cloud Computing', 'Programming', 'Research', 'Program Management', 'Statistics', 'Optimization', 'Human Computer Interaction', 'Signal Processing', 'Mathematical Modeling', 'Data Analysis', 'Image Processing']}, {'\n  Tools & Technologies': ['C++', 'Python', 'R', 'Matlab', 'Java', 'Perl', 'LaTeX', 'Hadoop', 'C']}, {'\n  Other Skills': ['High Performance Computing', 'Natural Language Processing', 'Pattern Recognition', 'Computational Genomics', 'Bayesian methods']}]","Machine Learning,Algorithms,Data Mining"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Economics']}, {'\n  Tools & Technologies': ['R', 'Microsoft Office', 'SQL', 'ArcGIS', 'GIS', 'Python']}, {'\n  Languages': ['Mandarin']}, {'\n  Other Skills': ['Driving License']}]","SPSS,Stata,Urban Planning"
"Seattle, Washington","[{'\n  Tools & Technologies': ['Minitab', 'MATLAB', 'R', 'Microsoft Excel', 'Microsoft Office']}, {'\n  Interpersonal Skills': ['Leadership']}, {'\n  Other Skills': ['Linear Programming']}]","Python,SQL,Statistical Data Analysis"
"Bengaluru Area, India","[{'\n  Industry Knowledge': []}, {'\n  Tools & Technologies': []}, {'\n  Other Skills': []}]",
"Seattle, Washington","[{'\n  Industry Knowledge': ['Solar Energy', 'Renewable Energy', 'Analysis', 'Research', 'Analytics', 'Project Management', 'Environmental Science', 'Sustainability', 'Energy Efficiency']}, {'\n  Tools & Technologies': ['Microsoft Excel', 'R', 'Microsoft Office', 'MySQL', 'VBA', 'HTML', 'Pandas']}, {'\n  Interpersonal Skills': ['Management', 'Public Speaking']}, {'\n  Other Skills': ['Spark', 'Energy Storage']}]","Python,SQL,Data Analysis"
,,
,,
,,
"Seattle, Washington","[{'\n  Industry Knowledge': ['Statistical Data Analysis']}, {'\n  Other Skills': ['Genetic Analysis', 'Radioimmunoassay']}]","Teaching,Research,R"
"Bengaluru, Karnataka, India","[{'\n  Industry Knowledge': ['Machine Learning', 'Data Analysis', 'Programming', 'Data Mining', 'NLP']}, {'\n  Tools & Technologies': ['R', 'pandas', 'Hadoop', 'VBA', 'Tensorflow ', 'Theano', 'Linux', 'Photoshop', 'HTML', 'PHP', 'Microsoft Office', 'Microsoft Excel', 'Windows', 'PowerPoint', 'Microsoft PowerPoint']}, {'\n  Other Skills': ['Deep Learning', 'R-Shiny', 'Data Transformation']}]","C,C++,Python"
"Toronto, Canada Area","[{'\n  Industry Knowledge': ['Data Analysis', 'SAS Programming', 'Statistics', 'Financial Modeling', 'Risk Management']}, {'\n  Tools & Technologies': ['R', 'SQL', 'Microsoft Excel', 'SAS', 'Python']}, {'\n  Interpersonal Skills': ['Teamwork']}]","Predictive Modeling,Statistical Modeling,Report Writing"
"Seattle, Washington","[{'\n  Industry Knowledge': ['Artificial Intelligence']}, {'\n  Tools & Technologies': ['R', 'Ruby on Rails', 'Hadoop', 'JavaScript', 'AngularJS']}]","Go,Python,Machine Learning"
"Raleigh-Durham, North Carolina Area","[{'\n  Industry Knowledge': ['Statistical Modeling', 'Data Analysis', 'Admissions', 'Higher Education', 'Editing']}, {'\n  Tools & Technologies': ['SQL']}, {'\n  Interpersonal Skills': ['Interviews']}]","Analytics,Statistics,Leadership"
