title,island,locality,price,beds,size,link,date,ad_type
"Flat / Apartment in avenida d'Antoni Maura, Pont d'Inca, Marratxi",Mallorca,Marratxi,190000,3,110,https://www.idealista.com/en/inmueble/91148619/,2020-10-01,sale
"Flat / Apartment in calle Belgica, Port d'Alcúdia - Platja d'Alcúdia, Alcúdia",Mallorca,Alcúdia,180000,2,95,https://www.idealista.com/en/inmueble/90390406/,2020-10-01,sale
"Penthouse in calle Escorpora, S'Illot-Cala Morlanda, Manacor",Mallorca,Manacor,135000,3,122,https://www.idealista.com/en/inmueble/90357882/,2020-10-01,sale
"Flat / Apartment in calle Sant Rafael, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,92,https://www.idealista.com/en/inmueble/90349027/,2020-10-01,sale
"Flat / Apartment in calle d'Aragó, Hostalets - Son Fortesa Sud, Palma de Mallorca",Mallorca,Palma de Mallorca,179000,3,94,https://www.idealista.com/en/inmueble/87655948/,2020-10-01,sale
"Flat / Apartment in calle Reis Catòlics, Son Canals - Can Capes, Palma de Mallorca",Mallorca,Palma de Mallorca,187000,3,130,https://www.idealista.com/en/inmueble/90153854/,2020-10-01,sale
"Flat / Apartment in Palma, Pere Garau, Palma de Mallorca",Mallorca,Palma de Mallorca,185000,2,74,https://www.idealista.com/en/inmueble/90130163/,2020-10-01,sale
"Flat / Apartment in calle de Gràcia, Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,185000,3,125,https://www.idealista.com/en/inmueble/89937491/,2020-10-01,sale
"Flat / Apartment in calle galdent, Llucmajor Interior, Llucmajor",Mallorca,Llucmajor,139900,3,86,https://www.idealista.com/en/inmueble/89806057/,2020-10-01,sale
"Flat / Apartment in calle d'Escorca, Son Amonda - Reis Catòlics, Inca",Mallorca,Inca,195000,3,90,https://www.idealista.com/en/inmueble/88441793/,2020-10-01,sale
"Flat / Apartment in cotllure, 38, Cas Capiscol, Palma de Mallorca",Mallorca,Palma de Mallorca,157000,2,75,https://www.idealista.com/en/inmueble/90739065/,2020-10-01,sale
"Flat / Apartment in calle Duc Estremera, 14, Palmanova, Calvià",Mallorca,Calvià,200000,2,41,https://www.idealista.com/en/inmueble/91206403/,2020-10-01,sale
"Flat / Apartment in calle de Joan Crespí, 34, Sta Catalina - El Jonquet, Palma de Mallorca",Mallorca,Palma de Mallorca,145000,3,70,https://www.idealista.com/en/inmueble/90709470/,2020-10-01,sale
"Flat / Apartment in SON NADAL, La Soledat, Palma de Mallorca",Mallorca,Palma de Mallorca,188000,4,126,https://www.idealista.com/en/inmueble/90680410/,2020-10-01,sale
"Flat / Apartment in TORRENTE, S'Arenal, Llucmajor",Mallorca,Llucmajor,190000,4,120,https://www.idealista.com/en/inmueble/89402179/,2020-10-01,sale
"Flat / Apartment in andratx, 36, Andratx Pueblo, Andratx",Mallorca,Andratx,199000,3,134,https://www.idealista.com/en/inmueble/90617875/,2020-10-01,sale
